1011 NORTH OLIVE INC.,P99000090730,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=1011NORTHOLIVE%20P990000907300&aggregateId=domp-p99000090730-4b0422f8-1b2b-4981-8d03-ce856f2ec519&searchTerm=33401&listNameOrder=1004CPT%20L100000765760,Link,Florida Profit Corporation,1011 NORTH OLIVE INC.,P99000090730,65-0992070,10/14/1999,,FL,ACTIVE,"1011 N OLIVE AVE
WEST PALM BEACH, FL 33401",,"1011 N OLIVE AVE
WEST PALM BEACH, FL 33401",01/25/2001,"SHALHOUB, ROBERT M","1011 N OLIVE AVE
WEST PALM BEACH, FL 33401",01/10/2011,,"P, D","SHALHOUB, ROBERT M, Esq. 8429 WEST LAKE DRIVE LAKE CLARKE SHORES, FL 33406",VP,"SHALHOUB, BERNADETTE 8429 WEST LAKE DRIVE LAKE CLARKE SHORES, FL 33406",,,2025,01/21/2025,2024,02/05/2024,2023,02/10/2023,"[{""Title"":""P, D"",""NameAddress"":""SHALHOUB, ROBERT M, Esq. 8429 WEST LAKE DRIVE LAKE CLARKE SHORES, FL 33406""},{""Title"":""VP"",""NameAddress"":""SHALHOUB, BERNADETTE 8429 WEST LAKE DRIVE LAKE CLARKE SHORES, FL 33406""}]","[{""Report Year"":""2025"",""Filed Date"":""01/21/2025""},{""Report Year"":""2024"",""Filed Date"":""02/05/2024""},{""Report Year"":""2023"",""Filed Date"":""02/10/2023""}]",,,https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=1011 NORTH OLIVE INC.,Link,990000274521,Lapsed,12/06/1999,12/06/2009,08/20/2025,990000274521,2,0,,2,"THELAW OFFICES OF ROBERT M W SHALHOUB PA
8429 WEST LAKE DRIVE
LAKE CLARKE SHORES, FL 33406

---

1011 NORTH OLIVE INC
1011 NORTH OLIVE AVENUE
WEST PALM BEACH, FL 33401",[],4,3537,,https://floridaucc.com/search?text=1011%20NORTH%20OLIVE%20INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"101 DUNBAR ROAD, INC.",P01000107577,INACT,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=101DUNBARROAD%20P010001075770&aggregateId=domp-p01000107577-406ca2e6-8e3d-433a-a892-a973380ccf86&searchTerm=33401&listNameOrder=1004CPT%20L100000765760,Link,Florida Profit Corporation,"101 DUNBAR ROAD, INC.",P01000107577,65-1151385,11/07/2001,,FL,INACTIVE,"1107 NORTH OLIVE AVE
WEST PALM BEACH, FL 33401",,"1107 NORTH OLIVE AVE
WEST PALM BEACH, FL 33401",,"BYRD, WADE R","7903 NILE RIVER ROAD
WEST PALM BEACH, FL 33411",,,P,"ELIAS, WILLIAM D 1107 NORTH OLIVE AVE WEST PALM BEACH, FL 33401",V,"BYRD, WADE R 7903 MILE RIVER RD WEST PALM BEACH, FL 33411",S,"ARANDA, DAWN M 1107 N OLIVE AV WEST PALM BEACH, FL 33401",2005,02/28/2005,2004,10/25/2004,2003,03/31/2003,"[{""Title"":""P"",""NameAddress"":""ELIAS, WILLIAM D 1107 NORTH OLIVE AVE WEST PALM BEACH, FL 33401""},{""Title"":""V"",""NameAddress"":""BYRD, WADE R 7903 MILE RIVER RD WEST PALM BEACH, FL 33411""},{""Title"":""S"",""NameAddress"":""ARANDA, DAWN M 1107 N OLIVE AV WEST PALM BEACH, FL 33401""}]","[{""Report Year"":""2005"",""Filed Date"":""02/28/2005""},{""Report Year"":""2004"",""Filed Date"":""10/25/2004""},{""Report Year"":""2003"",""Filed Date"":""03/31/2003""}]",,,"https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=101 DUNBAR ROAD, INC.",Link,200200345026,Lapsed,02/12/2002,02/12/2007,08/20/2025,200200345026,2,0,,1,"101 DUNBAR ROAD, INC., A FLORIDA CORPORATION
1107 NORTH OLIVE AVENUE
WEST PALM BEACH, FL 33401",[],5,3269,,https://floridaucc.com/search?text=101%20DUNBAR%20ROAD%2C%20INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"101 EL BRAVO, LLC",L07000006086,INACT,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=101ELBRAVO%20L070000060860&aggregateId=flal-l07000006086-3b465a41-528d-47ab-bbad-9b588b702fc8&searchTerm=33401&listNameOrder=1004CPT%20L100000765760,Link,Florida Limited Liability Company,"101 EL BRAVO, LLC",L07000006086,20-8305783,1/17/2007,,FL,INACTIVE,"215 FIFTH STREET, SUITE 100
WEST PALM BEACH, FL 33401",,"215 FIFTH STREET, SUITE 100
WEST PALM BEACH, FL 33401",,"RABIDEAU, GUY","400 ROYAL PALM WAY, SUITE 204
PALM BEACH, FL 33480",,,MGR,"JP Florida Investment Corporation 215 FIFTH STREET, SUITE 100 WEST PALM BEACH, FL 33401",Manager,"JP Florida Investment Corporation, JP Florida Investment Corporation 215 FIFTH STREET, SUITE 100 WEST PALM BEACH, FL 33401",,,2015,02/27/2015,2014,02/03/2014,2013,04/22/2013,"[{""Title"":""MGR"",""NameAddress"":""JP Florida Investment Corporation 215 FIFTH STREET, SUITE 100 WEST PALM BEACH, FL 33401""},{""Title"":""Manager"",""NameAddress"":""JP Florida Investment Corporation, JP Florida Investment Corporation 215 FIFTH STREET, SUITE 100 WEST PALM BEACH, FL 33401""}]","[{""Report Year"":""2015"",""Filed Date"":""02/27/2015""},{""Report Year"":""2014"",""Filed Date"":""02/03/2014""},{""Report Year"":""2013"",""Filed Date"":""04/22/2013""}]",,,"https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=101 EL BRAVO, LLC",Link,201104148348,Lapsed,03/01/2011,03/01/2016,08/20/2025,201104148348,1,0,,1,"101 EL BRAVO, LLC, A FLORIDA LIMITED LIABILITY COMPANY
215 FIFTH STREET, SUITE 100
WEST PALM BEACH, FL 33401",[],3,3278,,https://floridaucc.com/search?text=101%20EL%20BRAVO%2C%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
10232 PLANT DRIVE LLC,M22000008699,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=10232PLANTDRIVE%20M220000086990&aggregateId=forl-m22000008699-2c52d6cc-9fce-424b-97f3-2b5a5c226171&searchTerm=33401&listNameOrder=101MARKETINGSOLUTIONS%20L110000275510,Link,Foreign Limited Liability Company,10232 PLANT DRIVE LLC,M22000008699,N/A,06/03/2022,,DE,ACTIVE,"1105 N Dixie Hwy
WEST PALM BEACH, FL 33401",,"1105 N Dixie Hwy
WEST PALM BEACH, FL 33401",04/03/2023,"CORPORATE CREATIONS NETWORK, INC.","801 US HIGHWAY 1
NORTH PALM BEACH, FL 33408",,,Manager,"Burling Ridge Properties LLC 1105 N Dixie Hwy WEST PALM BEACH, FL 33401",,,,,2024,05/01/2024,2023,04/03/2023,,,"[{""Title"":""Manager"",""NameAddress"":""Burling Ridge Properties LLC 1105 N Dixie Hwy WEST PALM BEACH, FL 33401""}]","[{""Report Year"":""2024"",""Filed Date"":""05/01/2024""},{""Report Year"":""2023"",""Filed Date"":""04/03/2023""}]",,,https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=10232 PLANT DRIVE LLC,Link,202202655474,Filed,08/15/2022,08/15/2027,08/20/2025,202202655474,2,0,,10,"BURLING RIDGE PROPERTIES, LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

10232 PLANT DRIVE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

1025 W 7TH STREET LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

4824 BIMINI CIRCLE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

504 18TH STREET LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

515 PUTNAM ROAD LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

652 BAYBERRY DRIVE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

7804 OVERLOOK ROAD LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

836 EVERGREEN DRIVE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

736 OMAR ROAD LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401",[],9,3764,,https://floridaucc.com/search?text=10232%20PLANT%20DRIVE%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
1025 W 7TH STREET LLC,M22000008696,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=1025W7THSTREET%20M220000086960&aggregateId=forl-m22000008696-90c77ea4-4c64-409c-8957-3ab0513a18a6&searchTerm=33401&listNameOrder=101MARKETINGSOLUTIONS%20L110000275510,Link,Foreign Limited Liability Company,1025 W 7TH STREET LLC,M22000008696,N/A,06/03/2022,,DE,ACTIVE,"1105 N Dixie Hwy
WEST PALM BEACH, FL 33401",,"1105 N Dixie Hwy
WEST PALM BEACH, FL 33401",04/03/2023,"CORPORATE CREATIONS NETWORK, INC.","801 US HIGHWAY 1
NORTH PALM BEACH, FL 33408",,,Manager,"Burling Ridge Properties LLC 1105 N Dixie Hwy WEST PALM BEACH, FL 33401",,,,,2025,04/29/2025,2024,05/01/2024,2023,04/03/2023,"[{""Title"":""Manager"",""NameAddress"":""Burling Ridge Properties LLC 1105 N Dixie Hwy WEST PALM BEACH, FL 33401""}]","[{""Report Year"":""2025"",""Filed Date"":""04/29/2025""},{""Report Year"":""2024"",""Filed Date"":""05/01/2024""},{""Report Year"":""2023"",""Filed Date"":""04/03/2023""}]",,,https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=1025 W 7TH STREET LLC,Link,202202655474,Filed,08/15/2022,08/15/2027,08/20/2025,202202655474,2,0,,10,"BURLING RIDGE PROPERTIES, LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

10232 PLANT DRIVE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

1025 W 7TH STREET LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

4824 BIMINI CIRCLE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

504 18TH STREET LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

515 PUTNAM ROAD LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

652 BAYBERRY DRIVE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

7804 OVERLOOK ROAD LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

836 EVERGREEN DRIVE LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401

---

736 OMAR ROAD LLC
1105 N DIXIE HWY
WEST PALM BEACH, FL 33401",[],9,3798,,https://floridaucc.com/search?text=1025%20W%207TH%20STREET%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"1031 SOUTH WOOSTER LIMITED, A CALIFORNIA LIMITED PARTNERSHIP",B12000000169,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=1031SOUTHWOOSTERACALIFORNIA%20B120000001690&aggregateId=forlp-b12000000169-75e85b17-05a0-4f83-a5ca-354299b0c1e2&searchTerm=33401&listNameOrder=101MARKETINGSOLUTIONS%20L110000275510,Link,Foreign Limited Partnership,"1031 SOUTH WOOSTER LIMITED, A CALIFORNIA LIMITED PARTNERSHIP",B12000000169,95-4068934,08/06/2012,,CA,ACTIVE,"120 South Dixie, Unit 201
West Palm Beach, FL 33401",,"120 South Dixie, Unit 201
West Palm Beach, FL 33401",04/29/2025,"GROSSMAN, STUART IESQUIRE","100 SE 2ND STREET, SUITE 3600
MIAMI, FL 33131",,,,,,,,,2025,04/29/2025,2024,04/30/2024,2023,04/28/2023,[],"[{""Report Year"":""2025"",""Filed Date"":""04/29/2025""},{""Report Year"":""2024"",""Filed Date"":""04/30/2024""},{""Report Year"":""2023"",""Filed Date"":""04/28/2023""}]",,,"https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=1031 SOUTH WOOSTER LIMITED, A CALIFORNIA LIMITED PARTNERSHIP",Link,201309296543,Filed,6/24/2013,6/24/2028,08/20/2025,201309296543,4,0,,1,"1031 SOUTH WOOSTER LIMITED, A CALIFORNIA LIMITED PARTNERSHIP
95 NORTH COUNTY ROAD
PALM BEACH, FL 33480",[],4,3915,,https://floridaucc.com/search?text=1031%20SOUTH%20WOOSTER%20LIMITED%2C%20A%20CALIFORNIA%20LIMITED%20PARTNERSHIP&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
10477 FAIRVIEW AVENUE LLC,L12000131477,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=10477FAIRVIEWAVENUE%20L120001314770&aggregateId=flal-l12000131477-72bf1106-a689-43ba-a77c-e6e8f43a12af&searchTerm=33401&listNameOrder=101MARKETINGSOLUTIONS%20L110000275510,Link,Florida Limited Liability Company,10477 FAIRVIEW AVENUE LLC,L12000131477,46-1401063,10/15/2012,,FL,ACTIVE,"1921 S. Dixie Hwy
West Palm Beach, FL 33401",,"1921 S. Dixie Hwy
West Palm Beach, FL 33401",04/23/2019,"Slusher, Jeremy E","444 West Railroad Avenue
Suite 470
West Palm Beach, FL 33401",12/07/2021,,President,"ROSINSKY, MATHIEU 1921 S Dixie Hwy West Palm Beach, FL 33401",Authorized Member,"Rosinsky Management Inc 1921 S. Dixie Hwy West Palm Beach, FL 33401",,,2025,01/15/2025,2024,01/24/2024,2023,01/11/2023,"[{""Title"":""President"",""NameAddress"":""ROSINSKY, MATHIEU 1921 S Dixie Hwy West Palm Beach, FL 33401""},{""Title"":""Authorized Member"",""NameAddress"":""Rosinsky Management Inc 1921 S. Dixie Hwy West Palm Beach, FL 33401""}]","[{""Report Year"":""2025"",""Filed Date"":""01/15/2025""},{""Report Year"":""2024"",""Filed Date"":""01/24/2024""},{""Report Year"":""2023"",""Filed Date"":""01/11/2023""}]",,,https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=10477 FAIRVIEW AVENUE LLC,Link,201402117963,Lapsed,09/02/2014,09/02/2019,08/20/2025,201402117963,2,0,,1,"10477 FAIRVIEW AVENUE LLC
7 LAGOMAR ROAD
PALM BEACH, FL 33480",[],4,4175,,https://floridaucc.com/search?text=10477%20FAIRVIEW%20AVENUE%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"AACSA PARTNERS, LLC",L08000022798,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=AACSAPARTNERS%20L080000227980&aggregateId=flal-l08000022798-267668d7-ca71-480a-bd2a-9db7ed8f7520&searchTerm=90210&listNameOrder=984INDIANBEACHDRIVE%20L240000713010,Link,Florida Limited Liability Company,"AACSA PARTNERS, LLC",L08000022798,26-2091492,03/04/2008,03/01/2008,FL,ACTIVE,"10644 Lago Bella Drive
Orlando, FL 32832",,"9663 Santa Monica Blvd, Ste 128
Beverly Hills, CA 90210",05/01/2022,"ROCK, PAUL","10644 Lago Bella Drive
Orlando, FL 32832",02/16/2010,,MGRM,"ROCK, PAUL 10644 Lago Bella Drive Orlando, FL 32832",MGRM,"Rock, Sameera 10644 Lago Bella Drive Orlando, FL 32832",MGRM,"Eligeti, Jalandhar 10644 Lago Bella Drive Orlando, FL 32832",2025,04/27/2025,2024,04/30/2024,2023,09/17/2023,"[{""Title"":""MGRM"",""NameAddress"":""ROCK, PAUL 10644 Lago Bella Drive Orlando, FL 32832""},{""Title"":""MGRM"",""NameAddress"":""Rock, Sameera 10644 Lago Bella Drive Orlando, FL 32832""},{""Title"":""MGRM"",""NameAddress"":""Eligeti, Jalandhar 10644 Lago Bella Drive Orlando, FL 32832""}]","[{""Report Year"":""2025"",""Filed Date"":""04/27/2025""},{""Report Year"":""2024"",""Filed Date"":""04/30/2024""},{""Report Year"":""2023"",""Filed Date"":""09/17/2023""}]",,,"https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=AACSA PARTNERS, LLC",Link,202003921948,Lapsed,08/04/2020,08/04/2025,08/20/2025,202003921948,0,0,,1,"AACSA PARTNERS, LLC
2780 E. FOWLER AVE, # 241
TAMPA, FL 33612",[],1,92899,,https://floridaucc.com/search?text=AACSA%20PARTNERS%2C%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"THE AIMPOINT GROUP, LLC",L13000016574,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=AIMPOINTGROUP%20L130000165740&aggregateId=flal-l13000016574-2ebef0fa-2bc3-4bed-928c-d50fda7eaad7&searchTerm=90210&listNameOrder=984INDIANBEACHDRIVE%20L240000713010,Link,Florida Limited Liability Company,"THE AIMPOINT GROUP, LLC",L13000016574,46-1931817,02/01/2013,,FL,ACTIVE,"345 N. MAPLE DRIVE
STE. 300
BEVERLY HILLS, CA 90210",,"345 N. MAPLE DRIVE
STE. 300
BEVERLY HILLS, CA 90210",01/30/2025,CORPORATION SERVICE COMPANY,"1201 HAYS STREET
TALLAHASSEE, FL 32301",01/30/2025,,MGR,"ALEXANDER, ANDREW 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210",MGR,"LEONG, KELLY 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210",AMBR,"MADISON RETIREMENT HOLDINGS MIDCO, LLC 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210",2025,04/14/2025,2024,01/24/2024,2023,02/14/2023,"[{""Title"":""MGR"",""NameAddress"":""ALEXANDER, ANDREW 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210""},{""Title"":""MGR"",""NameAddress"":""LEONG, KELLY 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210""},{""Title"":""AMBR"",""NameAddress"":""MADISON RETIREMENT HOLDINGS MIDCO, LLC 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210""}]","[{""Report Year"":""2025"",""Filed Date"":""04/14/2025""},{""Report Year"":""2024"",""Filed Date"":""01/24/2024""},{""Report Year"":""2023"",""Filed Date"":""02/14/2023""}]",,,"https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=THE AIMPOINT GROUP, LLC",Link,202403195896,Filed,12/05/2024,12/05/2029,08/20/2025,202403195896,0,0,,1,"THE AIMPOINT GROUP, LLC
345 NORTH MAPLE DRIVE, SUITE 300
BEVERLY HILLS, CA 90210",[],1,6268610,,https://floridaucc.com/search?text=THE%20AIMPOINT%20GROUP%2C%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"THE AIMPOINT GROUP, LLC",L13000016574,Active,33401,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=AIMPOINTGROUP%20L130000165740&aggregateId=flal-l13000016574-2ebef0fa-2bc3-4bed-928c-d50fda7eaad7&searchTerm=90210&listNameOrder=984INDIANBEACHDRIVE%20L240000713010,Link,Florida Limited Liability Company,"THE AIMPOINT GROUP, LLC",L13000016574,46-1931817,02/01/2013,,FL,ACTIVE,"345 N. MAPLE DRIVE
STE. 300
BEVERLY HILLS, CA 90210",,"345 N. MAPLE DRIVE
STE. 300
BEVERLY HILLS, CA 90210",01/30/2025,CORPORATION SERVICE COMPANY,"1201 HAYS STREET
TALLAHASSEE, FL 32301",01/30/2025,,MGR,"ALEXANDER, ANDREW 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210",MGR,"LEONG, KELLY 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210",AMBR,"MADISON RETIREMENT HOLDINGS MIDCO, LLC 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210",2025,04/14/2025,2024,01/24/2024,2023,02/14/2023,"[{""Title"":""MGR"",""NameAddress"":""ALEXANDER, ANDREW 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210""},{""Title"":""MGR"",""NameAddress"":""LEONG, KELLY 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210""},{""Title"":""AMBR"",""NameAddress"":""MADISON RETIREMENT HOLDINGS MIDCO, LLC 345 N. MAPLE DRIVE STE. 300 BEVERLY HILLS, CA 90210""}]","[{""Report Year"":""2025"",""Filed Date"":""04/14/2025""},{""Report Year"":""2024"",""Filed Date"":""01/24/2024""},{""Report Year"":""2023"",""Filed Date"":""02/14/2023""}]",,,"https://floridaucc.com/search?searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard&text=THE AIMPOINT GROUP, LLC",Link,202403195896,Filed,12/05/2024,12/05/2029,08/20/2025,202403195896,0,0,,1,"THE AIMPOINT GROUP, LLC
345 NORTH MAPLE DRIVE, SUITE 300
BEVERLY HILLS, CA 90210",[],1,6268610,,https://floridaucc.com/search?text=THE%20AIMPOINT%20GROUP%2C%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
