GALAXY GLASS,Accessories and Other Apparel Manufacturers,Pg1-6,GALAXY GLASS,(561) 756-2702,http://galaxyglass468089322.localsearch.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202003489590,Link,202003489590,Filed,07/17/2020,07/17/2030,02/09/2026,202003489590,1,0,,1,"GALAXY GLASS LLC
3395 LAKE WORTH RD SUITE#5
LAKE WORTH, FL 33461",[],1,2462769,,https://floridaucc.com/search?text=GALAXY%20GLASS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
ISLAND PLANET,Accessories and Other Apparel Manufacturers,Pg1-8,ISLAND PLANET,(954) 927-9915,http://www.islandplanet.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202203813869,Link,202203813869,Filed,12/05/2022,12/05/2027,02/09/2026,202203813869,1,0,,2,"BONNIE BROWN DESIGNS, INC.
3290 NORTH 29TH COURT
HOLLYWOOD, FL 33020

---

ISLAND PLANET
3290 NORTH 296TH COURT
HOLLYWOOD, FL 33020",[],1,3225329,,https://floridaucc.com/search?text=ISLAND%20PLANET&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
SPLIT INC,Accessories and Other Apparel Manufacturers,Pg1-13,SPLIT INC,(954) 920-8889,https://lucky7usa.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201308308548,Link,201308308548,Lapsed,01/24/2013,01/24/2018,02/09/2026,201308308548,1,0,,1,"SPLIT INC
1210 STIRLING ROAD SUITE 7B
DANIA, FL 33004-3536",[],1,6063941,,https://floridaucc.com/search?text=SPLIT%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
LA MODA HINDU,Accessories and Other Apparel Manufacturers,Pg1-16,LA MODA HINDU,(305) 636-4447,http://lamodahindu.en.ecplaza.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20220096975X,Link,20220096975X,Filed,03/28/2022,03/28/2027,02/09/2026,20220096975X,0,0,,1,"LA MODA HINDU
20871 JOHNSON ST STE 113
PEMBROKE PNES, FL 33029",[],1,3656733,,https://floridaucc.com/search?text=LA%20MODA%20HINDU&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
FOUR SEASONS APPAREL,Accessories and Other Apparel Manufacturers,Pg1-17,FOUR SEASONS APPAREL,(305) 621-1373,http://fourseasonsapparel.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202001909975,Link,202001909975,Filed,05/31/2020,05/31/2030,02/09/2026,202001909975,1,0,,1,"FOUR SEASONS APPAREL, MIAMI, INC
4910 MASSACHUSETTS AVENUE, NW, SUITE 210
WASHINGTON, DC 20016",[],1,2375802,,https://floridaucc.com/search?text=FOUR%20SEASONS%20APPAREL&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
ARTESANO CREATIONS,Accessories and Other Apparel Manufacturers,Pg1-18,ARTESANO CREATIONS,(305) 576-1909,https://artesano.net/pages/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201300232003,Link,201300232003,Lapsed,11/18/2013,11/18/2018,02/09/2026,201300232003,1,0,,1,"ARTESANO CREATIONS, LLC
540 NW 28TH STREET
MIAMI, FL 33131",[],1,434558,,https://floridaucc.com/search?text=ARTESANO%20CREATIONS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
LEO FASHIONS INC,Accessories and Other Apparel Manufacturers,Pg1-21,LEO FASHIONS INC,(305) 887-1032,http://leoninefashion.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950000031633,Link,950000031633,Lapsed,02/15/1995,02/15/2000,02/09/2026,950000031633,0,0,,1,"LEO FASHIONS INC
230 W 23 ST
HIALEAH, FL 33010",[],2,3791420,,https://floridaucc.com/search?text=LEO%20FASHIONS%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
GLOBAX LLC,Accessories and Other Apparel Manufacturers,Pg1-30,GLOBAX LLC,(305) 890-4087,http://www.globax.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202002247585,Link,202002247585,Filed,06/13/2020,06/13/2030,02/09/2026,202002247585,1,0,,1,"GLOBAX LLC
1900 NW 82ND AVE
DORAL, FL 33126",[],1,2597951,,https://floridaucc.com/search?text=GLOBAX%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
ACU CARE CENTER,Acupuncturists,Pg1-8,ACU CARE CENTER,(954) 404-9471,http://acucarecenter.localsearch.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110466009X,Link,20110466009X,Lapsed,05/25/2011,05/25/2016,02/09/2026,20110466009X,1,0,,1,"ACU CARE CENTER, LLC
8603 S DIXIE HWY STE 208
MIAMI, FL 33143",[],1,139861,,https://floridaucc.com/search?text=ACU%20CARE%20CENTER&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
SOUTHEAST FLORIDA UROLOGY,Acupuncturists,Pg1-10,SOUTHEAST FLORIDA UROLOGY,(954) 392-6606,http://www.robertshermanmd.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202400784440,Link,202400784440,Filed,03/26/2024,03/26/2029,02/09/2026,202400784440,2,0,,1,"SOUTHEAST FLORIDA UROLOGY LLC
500 N HIATUS RD STE 107
PEMBROKE PNES, FL 33026",[],1,6008715,,https://floridaucc.com/search?text=SOUTHEAST%20FLORIDA%20UROLOGY&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
