EVERYTHING LOBSTER LLC,INACT,87-2185571,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EVERYTHINGLOBSTER%20L210003633470&aggregateId=flal-l21000363347-2456efdb-6c2c-4d44-9a74-766d27854c83&searchTerm=33408&listNameOrder=EVERYTHINGLOBSTER%20L210003633470,Filed,02/21/2022,02/21/2027,https://floridaucc.com/search?text=EVERYTHING%20LOBSTER%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"EVOLUTION COMMUNICATIONS, INC.",INACT,65-0630177,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EVOLUTIONCOMMUNICATIONS%20P960000017220&aggregateId=domp-p96000001722-86fa957c-8f13-43a7-9f98-bb4927d4b0a0&searchTerm=33408&listNameOrder=EVERYTHINGLOBSTER%20L210003633470,Lapsed,04/08/1997,04/08/2002,https://floridaucc.com/search?text=EVOLUTION%20COMMUNICATIONS%2C%20INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
EWD LLC,InActive,NONE,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EWD%20L120000575710&aggregateId=flal-l12000057571-cfae0020-a78a-442d-bd37-7b4f3da93373&searchTerm=33408&listNameOrder=EVERYTHINGLOBSTER%20L210003633470,Lapsed,07/21/2004,07/21/2009,https://floridaucc.com/search?text=EWD%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"EXCELLER, INC.",INACT,65-1102832,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EXCELLER%20P010000172010&aggregateId=domp-p01000017201-07187fb1-b824-411a-a3f1-d948550be8e9&searchTerm=33408&listNameOrder=EXCELLENTBODYWORK%20P110000382000,Lapsed,11/08/2002,11/08/2007,https://floridaucc.com/search?text=EXCELLER%2C%20INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"EXCLUSIVE TRAVEL, INC.",INACT,59-1783972,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EXCLUSIVETRAVEL%205641621&aggregateId=domp-564162-58307975-a7ed-45a5-83f7-929f4bbe3e87&searchTerm=33408&listNameOrder=EXCELLENTBODYWORK%20P110000382000,Lapsed,12/01/1992,12/01/1997,https://floridaucc.com/search?text=EXCLUSIVE%20TRAVEL%2C%20INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"EXECUJET, INC.",INACT,59-2808347,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EXECUJET%20J667260&aggregateId=domp-j66726-c7b55f4e-f67d-4f95-a9ff-7122e47c0df4&searchTerm=33408&listNameOrder=EXCELLENTBODYWORK%20P110000382000,Lapsed,02/05/2015,02/05/2025,https://floridaucc.com/search?text=EXECUJET%2C%20INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
EXOTIC BEAUTY LLC,Active,93-3832291,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EXOTICBEAUTY%20L230004522670&aggregateId=flal-l23000452267-5f810d87-7b77-41c1-85d5-e3dc2d739a21&searchTerm=33408&listNameOrder=EXECUTIVESQUAREHOMES%20P110000945860,Filed,09/22/2023,09/22/2028,https://floridaucc.com/search?text=EXOTIC%20BEAUTY%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
EXPRESS PACKAGING INC,INACT,NONE,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EXPRESSPACKAGING%20P170000688350&aggregateId=domp-p17000068835-3457da9b-9238-45d0-a189-b064916e1473&searchTerm=33408&listNameOrder=EXPOITALIAESTORE%20L130001762740,Lapsed,06/12/1997,06/12/2002,https://floridaucc.com/search?text=EXPRESS%20PACKAGING%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
"EXQUISITE BRIDES OF PALM BEACH, LLC",INACT,NONE,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=EXQUISITEBRIDESPALMBEACH%20L070000029930&aggregateId=flal-l07000002993-9a1968e7-050e-4861-a7d1-afdb69378738&searchTerm=33408&listNameOrder=EXPOITALIAESTORE%20L130001762740,Lapsed,04/03/2007,04/03/2012,https://floridaucc.com/search?text=EXQUISITE%20BRIDES%20OF%20PALM%20BEACH%2C%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
FACILITIES CORPORATION,INACT,00-0000000,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?inquirytype=ZipCode&directionType=ForwardList&searchNameOrder=FACILITIES%20S306120&aggregateId=domp-s30612-b7a7e75f-ce18-47ce-8207-6d840f7904f8&searchTerm=33408&listNameOrder=FACIALCOSMETICASSOCIATESPALMBE%20K962660,Lapsed,01/19/2021,01/19/2026,https://floridaucc.com/search?text=FACILITIES%20CORPORATION&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard
