GALAXY GLASS,(561) 756-2702,http://galaxyglass468089322.localsearch.com,Filed,07/17/2020,07/17/2030,https://floridaucc.com/search?text=GALAXY%20GLASS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
ISLAND PLANET,(954) 927-9915,http://www.islandplanet.com,Filed,12/05/2022,12/05/2027,https://floridaucc.com/search?text=ISLAND%20PLANET&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
SPLIT INC,(954) 920-8889,https://lucky7usa.com,Lapsed,01/24/2013,01/24/2018,https://floridaucc.com/search?text=SPLIT%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
LA MODA HINDU,(305) 636-4447,http://lamodahindu.en.ecplaza.net,Filed,03/28/2022,03/28/2027,https://floridaucc.com/search?text=LA%20MODA%20HINDU&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
FOUR SEASONS APPAREL,(305) 621-1373,http://fourseasonsapparel.net,Filed,05/31/2020,05/31/2030,https://floridaucc.com/search?text=FOUR%20SEASONS%20APPAREL&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
ARTESANO CREATIONS,(305) 576-1909,https://artesano.net/pages/contact-us,Lapsed,11/18/2013,11/18/2018,https://floridaucc.com/search?text=ARTESANO%20CREATIONS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
LEO FASHIONS INC,(305) 887-1032,http://leoninefashion.com,Lapsed,02/15/1995,02/15/2000,https://floridaucc.com/search?text=LEO%20FASHIONS%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
GLOBAX LLC,(305) 890-4087,http://www.globax.org,Filed,06/13/2020,06/13/2030,https://floridaucc.com/search?text=GLOBAX%20LLC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
ACU CARE CENTER,(954) 404-9471,http://acucarecenter.localsearch.com,Lapsed,05/25/2011,05/25/2016,https://floridaucc.com/search?text=ACU%20CARE%20CENTER&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
SOUTHEAST FLORIDA UROLOGY,(954) 392-6606,http://www.robertshermanmd.com,Filed,03/26/2024,03/26/2029,https://floridaucc.com/search?text=SOUTHEAST%20FLORIDA%20UROLOGY&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
VU NGUYEN,(954) 239-3628,N/A,Lapsed,02/19/1997,02/19/2002,https://floridaucc.com/search?text=VU%20NGUYEN&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
ACUMED USA,(954) 239-3628,http://acumedusa.com,Filed,08/02/2020,08/02/2030,https://floridaucc.com/search?text=ACUMED%20USA&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
STIRLING SPINAL,(954) 392-7700,http://stirlingspine.com,Lapsed,12/20/2019,12/20/2024,https://floridaucc.com/search?text=STIRLING%20SPINAL&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
FLORIDA COMPLETE WELLNESS,(954) 765-6505,http://floridacompletewellness.com,Filed,12/06/2022,12/06/2027,https://floridaucc.com/search?text=FLORIDA%20COMPLETE%20WELLNESS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
FAMILY ACUPUNCTURE,(954) 895-4849,https://www.familyacupuncture.com,Filed,05/27/2020,05/27/2030,https://floridaucc.com/search?text=FAMILY%20ACUPUNCTURE&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
CHEBERE APPETITE INC,(305) 454-1900,https://www.sergioscatering.com/food-and-restaurants-about-us,Filed,03/23/2023,03/23/2028,https://floridaucc.com/search?text=CHEBERE%20APPETITE%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
JOINT REGENERATION INSTITUTE INC,(954) 367-5648,http://jointregenerationinstituteinc.localsearch.com,Filed,08/30/2021,08/30/2026,https://floridaucc.com/search?text=JOINT%20REGENERATION%20INSTITUTE%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
FLORIDA COMPLETE WELLNESS,(954) 765-6505,https://floridacompletewellness.com,Filed,12/06/2022,12/06/2027,https://floridaucc.com/search?text=FLORIDA%20COMPLETE%20WELLNESS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
EASTERN ACUPUNCTURE AND WELLNESS,(954) 400-5504,http://easternacupunctureandwellness.localsearch.com,Filed,12/11/2025,12/11/2030,https://floridaucc.com/search?text=EASTERN%20ACUPUNCTURE%20AND%20WELLNESS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
GLOBAL TCM,(954) 647-5539,http://www.globaltcm.com,Filed,06/18/2020,06/18/2030,https://floridaucc.com/search?text=GLOBAL%20TCM&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
VIDA CHIROPRACTIC MIAMI,(305) 603-8408,https://www.vidachiropracticmiami.com,Filed,03/13/2025,03/13/2030,https://floridaucc.com/search?text=VIDA%20CHIROPRACTIC%20MIAMI&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Acupuncturists
