FLORIDA SILICA SAND COMPANY,(305) 691-5881,http://www.fsscompany.com,Lapsed,01/07/1999,01/07/2004,https://floridaucc.com/search?text=FLORIDA%20SILICA%20SAND%20COMPANY&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Abrasive Product Manufacturers
AMERICAN FASTENERS CORP,(954) 767-6004,http://www.amerifast.com,Lapsed,06/19/1998,06/19/2003,https://floridaucc.com/search?text=AMERICAN%20FASTENERS%20CORP&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Abrasive Product Manufacturers
AVENTURA SELF STORAGE,(305) 933-5999,http://aventuraselfstorage.localsearch.com,Lapsed,09/28/2000,09/28/2015,https://floridaucc.com/search?text=AVENTURA%20SELF%20STORAGE&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Abrasive Product Manufacturers
AMERICAN FASTENERS CORP,(305) 885-1717,http://www.amerifast.com,Lapsed,06/19/1998,06/19/2003,https://floridaucc.com/search?text=AMERICAN%20FASTENERS%20CORP&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Abrasive Product Manufacturers
REFINISHING SUPPLIES EXPORT INC,(305) 487-7204,http://refinishingsuppliesexportinc.localsearch.com,Lapsed,06/06/2013,06/06/2018,https://floridaucc.com/search?text=REFINISHING%20SUPPLIES%20EXPORT%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Abrasive Product Manufacturers
PIONEER INDUSTRIAL PARK,(561) 689-2064,http://pioneerindustrialpark.localsearch.com,Lapsed,09/16/1997,09/16/2002,https://floridaucc.com/search?text=PIONEER%20INDUSTRIAL%20PARK&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Abrasive Product Manufacturers
GALAXY GLASS,(561) 756-2702,http://galaxyglass468089322.localsearch.com,Filed,07/17/2020,07/17/2030,https://floridaucc.com/search?text=GALAXY%20GLASS&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
LUXURE BY LAUREN,(954) 488-9262,https://www.luxurebylauren.com,Lapsed,05/29/2020,05/29/2025,https://floridaucc.com/search?text=LUXURE%20BY%20LAUREN&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
TOP IMAGE USA INC,(954) 327-3803,http://topimageusa.com,Filed,05/05/2020,05/05/2030,https://floridaucc.com/search?text=TOP%20IMAGE%20USA%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
KAMTEX USA INC,(954) 733-1044,http://kamtexusainc.localsearch.com,Lapsed,09/05/2000,09/05/2005,https://floridaucc.com/search?text=KAMTEX%20USA%20INC&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard,Accessories and Other Apparel Manufacturers
