COMPANY,ADDRESS,CITY,STATE,ZIP,ZIP4,LEGALNAME,PADDRESSLNG,PCITY,PSTATE,PZIP,PCRRT,SICDESC,TITLE,CONTACTNAMECOMP,Corporate Name (Search),UCC URL (Search),Source File,Status (UCC),Date Filed,Expires,Filings Completed Through,UCC Number,Filing Events,Secured Parties Count,Secured Party 1 Name,Secured Party 1 Address,Secured Party 2 Name,Secured Party 2 Address,Secured Party 3 Name,Secured Party 3 Address,Secured Party 4 Name,Secured Party 4 Address,Secured Party 5 Name,Secured Party 5 Address,Debtor Parties Count,Debtor Name,Debtor Address,Document Type,Document Pages,Document Number,Filing Date
Pure Edge  Inc,P O Box 2298,South Hamilton,MA,01982-0298,298,"PURE EDGE, INC.",109 Royal Palm Way,Palm Beach,FL,33480-4249,,"Trusts: Educational, Religious, Etc.",Chief Executive Officer,Mr. Chi Kim,Pure Edge  Inc,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Andre Partners LLC,P O Box 880,Siasconset,MA,2564,,ANDRE PARTNERS LLC,408 Chilean Ave,Palm Beach,FL,33480-4529,,Inns,Managing Member,Mr. Peter G Karlson,Andre Partners LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Gaetano Cacciatore LLC,P O Box 678,Somerville,NJ,08876-0678,678,GAETANO CACCIATORE LLC,1601 Forum Pl Ste 1110,West Palm Beach,FL,33401-8104,,Concrete Work,Chief Executive Officer,Mr. Alessandro Civera,Gaetano Cacciatore LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Uts Aviation LLC,P O Box 924,Gainesville,VA,20156-0924,924,UTS AVIATION LLC,1801 N Flagler Dr Apt 938,West Palm Beach,FL,33407-6568,,Real Estate Agents And Managers,Member,Mr. Norman G Wear,Uts Aviation LLC,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Palm Beach Intl Raceway,P O Box 11408,Norfolk,VA,23517,,PALM BEACH INTERNATIONAL RACEWAY,1555 Palm Beach Lakes Blvd Ste 400,West Palm Beach,FL,33401-2327,,"Racing, Including Track Operation",Chief Executive Officer,Mr. Jason Rittenberry,Palm Beach Intl Raceway,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Edison Electrical Surplus Inc,P O Box 40,West Union,SC,29696-0040,40,"EDISON ELECTRICAL SURPLUS, INC.",2000 Avenue P Ste 12,Riviera Beach,FL,33404-5342,,"Electrical Supplies, Nec",President,Mr. Michael H Hall,Edison Electrical Surplus Inc,"https://floridaucc.com/search?text=EDISON ELECTRICAL SURPLUS, INC.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Filed,06/02/2020,06/02/2030,03/02/2026,202001963007,1,1,,,,,,,,,,,1,"EDISON ELECTRICAL SURPLUS , INC","2000 AVE P STE 12, RIVERA BEACH, FL, 33404",UCC1,1,,06/02/2020
Nuclear Medicine Scanning PA,P O Box 1607,Dania,FL,33004-1607,1607,"NUCLEAR MEDICINE SCANNING, P.A.",2540 Metrocentre Blvd Ste 1,West Palm Beach,FL,33407-3137,,Radiologist,President,Mr. Henry Pevsner,Nuclear Medicine Scanning PA,"https://floridaucc.com/search?text=NUCLEAR MEDICINE SCANNING, P.A.&searchOptionType=LegacySearch&searchOptionSubOption=FiledAndLapsedActualDebtorNameList&searchCategory=Standard",Search1600.csv,Lapsed,12/29/2004,12/29/2009,03/02/2026,200408624408,1,1,,,,,,,,,,,1,NUCLEAR MEDICINE SCANNING PA,"2500 METROCENTRE BLVD STE 6, WEST PALM BEACH, FL, 33407",UCC1,1,,12/29/2004
Adel Cnstr Co Of W Palm Bch,P O Box 530035,Miami,FL,33153,,ADEL CONSTRUCTION CO OF WEST PALM BEACH INC,1030 W 15th St,West Palm Beach,FL,33404-6726,,Parking Lot Maintenance,President,Mr. Frank J Hollub,Adel Cnstr Co Of W Palm Bch,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Diamond Advertising & Mktg,P O Box 222,West Palm Beach,FL,33401,,DIAMOND ADVERTISING & MARKETING INC,1200 S Flagler Dr Apt 106,West Palm Beach,FL,33401-6701,,Magazines: Publishing And Printing,Owner,Ms. Audrey Diamonds,Diamond Advertising & Mktg,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
Center For Gstrntnstnal Endsco,P O Box 949,West Palm Beach,FL,33401,,"CENTER FOR GASTROINTENSTINAL ENDOSCOPY, LLC",1117 N Olive Ave Ste 201,West Palm Beach,FL,33401-3520,,General Medical And Surgical Hospitals,Member,Mr. Jeff Wenger,Center For Gstrntnstnal Endsco,,Search1600.csv,No close match,,,,,,,,,,,,,,,,,,,,,,,
